-156, -11
-156, -11
-709, 987
-496, -713
-496, -713
937, -810
937, -810
-19, -523
-148, -531
-436, 407
-32, -771
-32, -771
-32, -676
839, 758
-504, 221
337, 148
337, 148
-593, 910
709, 966
705, 622
705, 622
-744, -348
-744, -348
-894, -949
-894, -949
932, 268
-233, 34
-233, 34
-843, -762
870, 254
-567, -174
-101, 803
543, -433
543, -433
810, 792
-522, -449
-839, -66
-839, -66
667, -588
667, -588
32, 441
-422, -735
-422, -735
-854, -290
-854, -290
-535, 604
-156, 17
-156, 17
-17, -337
617, 81
617, 81
482, -909
155, -408
155, -408
973, -648
-807, 548
-807, 548
-873, 901
-336, -493
-671, 422
-461, 596
-461, 596
-723, 569
-723, 569
-590, 210
-870, 901
404, -400
990, 832
-4, -643
527, 939
64, 579
-287, 540
114, 433
14, 817
14, 817
373, 494
-589, 184
584, 734
584, 734
-263, 420
-263, 420
393, 991
393, 991
888, -345
888, -345
965, -592
965, -592
-100, 693
389, 226
-797, -539
-797, -539
234, -517
234, -517
-6, -980
370, 304
370, 304
102, 881
-162, 975
-63, -105
-352, 68
208, 936
208, 936
811, -303
811, -303
783, 695
-450, -607
-450, -607
973, 105
973, 105
211, 337
808, 232
-515, -291
868, 593
868, 593
311, 150
311, 150
-69, 687
-69, 687
835, 456
108, -506
108, -506
535, -984
535, -984
-7, 686
-9, -33
880, 129
-802, 493
-511, -315
-743, -972
704, 835
-503, 653
-539, 546
653, 148
-131, 152
-916, 340
128, -707
98, -141
755, 828
755, 828
-221, -485
270, 519
602, 191
602, 191
812, 579
617, -556
615, -420
82, -180
-338, -589
-338, -589
591, -5
-288, -529
267, -141
267, -141
-919, -814
-686, 955
-686, 955
44, 234
44, 234
-550, -930
-550, -930
-36, -308
479, -251
198, 503
198, 503
-441, 356
-441, 356
-401, 178
-401, 178
296, 356
296, 356
69, -345
69, -345
111, 68
-132, -777
-132, -777
-360, -680
950, 322
453, 700
-850, -968
-850, -968
204, -520
-54, -934
-54, -934
563, 174
563, 174
703, 787
-598, 154
-598, 154
508, 224
-536, -354
-375, -415
160, 542
507, -718
507, -718
-96, 951
945, -748
795, -324
982, -634
982, -634
632, -466
638, -338
638, -338
-458, 278
-526, 166
-105, -990
-105, -990
-809, -503
-809, -503
745, -479
-427, 989
23, -716
-772, 45
626, 227
502, -645
862, -649
862, -649
604, 219
-129, -167
-129, -167
-505, -450
-505, -450
-255, 8
-255, 8
537, 275
849, 500
849, 500
-166, -210
800, -370
800, -370
-992, 385
997, -609
997, -609
-106, 925
-323, -178
-323, -178
-267, -888
289, -945
361, 774
361, 774
854, -848
85, 348
-130, 535
-968, -850
576, -739
576, -739
688, -218
688, -218
-16, -77
530, -703
-359, 701
561, -948
57, 626
-488, 448
781, 969
102, -297
313, 684
705, 329
705, 329
-104, 383
597, -49
701, 55
-698, 832
-698, 832
-156, 855
-156, 855
969, 660
-703, -671
235, 760
235, 760
-740, -315
55, -189
-175, 855
587, -838
-446, -757
-947, -130
-915, 31
-915, 31
-95, 441
-635, 976
916, 194
196, 684
-778, 726
-778, 726
-420, -463
410, -42
410, -42
623, -993
623, -993
-187, -463
844, -173
844, -173
-194, -545
-194, -545
-209, 743
-149, -746
-149, -746
280, -829
280, -829
-862, -632
-862, -632
-253, 180
-120, -710
630, -995
843, -390
-380, -584
-380, -584
