-894, -949
-829, -984
-636, -991
75, -995
630, -995
919, -994
957, -989
995, -882
997, -609
999, 425
990, 832
978, 927
945, 951
635, 995
439, 996
51, 997
-331, 997
-989, 993
-999, 66
-980, -874
-894, -949

-986, -850
-976, -884
-940, -957
-766, -977
-611, -990
-407, -993
805, -997
939, -978
957, -974
993, -953
998, 113
998, 793
979, 935
927, 993
-791, 996
-975, 926
-982, 820
-989, -57
-986, -850

-921, -989
-826, -998
11, -998
528, -992
911, -974
935, -964
984, -833
997, -674
999, 447
986, 960
976, 990
746, 999
-896, 996
-978, 888
-999, 432
-996, -656
-979, -782
-967, -853
-921, -989

-992, -808
-956, -890
-863, -989
-843, -999
-64, -998
805, -992
856, -970
947, -930
976, -836
986, -666
997, 70
985, 957
924, 973
736, 997
99, 999
-869, 998
-976, 760
-984, 660
-989, 547
-994, 371
-992, -808

940, -946
967, -873
982, -823
996, -758
999, 332
997, 415
973, 802
951, 978
939, 983
881, 999
-385, 994
-569, 987
-699, 979
-858, 962
-937, 940
-989, 827
-991, 180
-987, -971
-960, -980
-773, -995
-82, -998
691, -996
940, -946

770, -998
786, -996
981, -946
986, -801
992, -399
995, 115
998, 937
979, 954
863, 989
844, 991
-56, 994
-963, 939
-983, 873
-998, 798
-998, -274
-982, -878
-947, -922
-893, -967
-669, -979
-488, -985
770, -998

-204, -998
897, -990
969, -986
975, -907
989, -558
997, -51
999, 749
995, 804
981, 959
821, 996
-152, 998
-951, 970
-986, 875
-999, -554
-995, -872
-975, -938
-907, -972
-542, -991
-204, -998

-882, -981
-690, -999
-85, -999
996, -987
999, -625
992, 337
978, 761
967, 932
810, 981
713, 992
-232, 997
-782, 995
-933, 985
-990, 442
-996, 320
-996, -93
-995, -695
-986, -843
-882, -981

988, -390
992, -119
997, 854
971, 991
785, 995
-691, 998
-906, 974
-956, 958
-983, 424
-999, -137
-997, -709
-987, -921
-955, -941
-848, -965
-750, -986
-225, -997
721, -999
967, -975
982, -785
988, -390

-503, -987
31, -999
326, -998
882, -995
888, -990
967, -879
998, -579
997, 406
992, 764
953, 970
875, 989
804, 990
416, 994
-611, 999
-962, 981
-992, 403
-999, -210
-996, -896
-845, -962
-503, -987
