5000
392918	7808
425618	262428
254848	345297
92392	62534
67404	378232
95988	34374
272804	181811
136447	171545
158016	112465
267706	151728
119074	494505
352365	106369
242434	274541
474298	23545
245720	310122
290527	399181
147857	104472
436516	378532
398979	237747
270464	349259
26470	438874
151960	17770
94772	276469
29119	446540
91097	189768
211955	409893
270728	375602
304756	451364
279186	165678
343289	35880
326345	124016
67133	123621
97368	32423
135727	111394
47263	234758
181088	326118
328995	325494
293333	349537
196385	353193
284903	211922
279601	433724
26436	169454
338452	467415
425939	490846
386810	243688
44269	460751
454801	200746
224591	446745
332204	242784
399917	429231
429621	260752
42077	150550
87964	405651
198571	244071
261320	292048
165352	431061
320717	248415
94255	179576
329983	151243
203505	126562
140529	489999
173858	413008
450573	493831
65947	288979
51440	111034
14403	448038
298403	188934
261990	295165
440597	428487
386085	313035
477720	41368
157557	479486
27505	265713
95239	94807
250707	308218
291852	73599
269439	168745
154562	369657
292693	334727
106081	212643
272517	369151
202431	20681
290156	478278
278001	265304
400489	249598
201614	296150
275915	14744
241394	305859
118056	410384
368177	236641
69441	74417
318857	274658
325116	219940
362130	217581
137274	453751
143927	479854
170967	55383
152151	72750
490574	65771
440972	107441
417925	340655
78734	317942
348925	457107
30475	320098
375092	40688
454565	428990
359350	377414
104248	474964
454636	242487
235765	127975
408427	268827
182618	82402
215448	397981
459956	123809
311206	96902
39073	340234
90932	278741
338069	401720
302016	164158
445604	89475
107514	83654
403418	475044
80077	187999
154130	9621
28581	257709
159574	86753
209702	229358
186524	185472
86520	106856
392388	293662
351181	145892
17867	76477
374852	75683
252363	300079
71322	487588
354302	110378
451127	89729
242862	223051
236270	251706
157729	460341
222029	480764
299496	321052
321767	421729
57175	383869
44877	477336
25556	385885
364497	245948
174449	460899
38588	345608
472307	361688
221174	468404
271327	444294
173791	362509
244842	236947
151538	445911
474222	205167
229380	151467
396932	211876
308656	26865
402132	294790
281774	441322
286838	142390
58737	98113
79588	175585
6312	428075
314202	101934
175204	155198
118820	280845
238031	144591
224590	488098
499969	423884
165079	306661
23703	458820
344177	197558
402104	54316
374206	427818
415459	432
357570	174668
382140	322185
334572	381915
140307	108653
223394	271231
312438	159870
378838	373811
442699	357098
425823	401082
288896	121835
361775	262917
152455	464712
105554	151165
199700	221054
307337	358163
421100	395929
223784	163665
5474	181669
108769	48503
287470	40028
291816	284811
426868	234813
427248	456900
13398	495123
303799	439579
339026	425681
434526	399911
314539	77823
250043	379756
309756	55832
113143	312704
65470	193084
449830	239446
429258	482542
318544	457801
92957	3778
257001	267027
254242	431649
349309	108330
5928	150970
476644	266922
39248	279726
149576	381800
213113	253797
71142	105601
365809	405155
360108	414776
238588	205902
259630	468307
460490	367697
186198	393041
266530	95909
241189	330251
63695	404381
179511	66927
223208	339231
418116	164182
303000	30823
228429	227652
4615	166128
69860	395420
115133	372700
78587	60524
176113	57453
184171	163536
352565	381969
337451	72705
265821	139954
335482	250018
187841	52173
238604	481608
58305	326457
454084	458828
225678	405109
53116	309312
268064	146101
140321	136737
389447	62618
399368	302479
122558	185164
248562	135615
479335	181033
196144	145719
5168	411549
489604	410986
108387	277052
92484	164220
121994	206182
207236	3702
424724	411581
185880	2982
92585	15309
297735	114441
307553	382099
27794	64972
148094	91878
490863	170341
268117	401325
360916	230588
127833	145795
34197	138139
85527	195122
267597	353295
449289	206865
215205	308301
287772	180721
53382	66796
427937	215864
203930	171421
339940	69737
379099	283898
341206	239426
173658	388647
118514	477452
410752	371008
349643	63760
141283	134661
441736	405771
227502	340955
416220	352634
400910	29736
327339	192215
53305	377615
97814	402014
151400	17150
227178	480026
7520	362431
74606	300582
275502	115286
200726	133969
31175	415663
473064	315331
421705	265735
76058	389776
459746	181278
203947	300448
171325	443616
328741	95425
130471	280000
12193	359221
64999	256159
137691	96754
121912	303592
228359	134471
199395	135465
364996	40610
3189	369096
204213	255140
213529	343586
344675	369250
422756	471828
458265	386374
384161	163950
28612	412360
89277	33763
290266	463916
474914	274734
152336	393085
307960	97424
20417	180375
45360	242089
103708	216212
228796	278199
172935	455648
181809	472646
448111	361630
93957	424527
229550	144759
33821	316373
183223	8113
205798	191108
22959	393802
184706	15960
251795	146450
401697	356131
364773	413378
340814	499327
118865	186734
153285	255108
292376	462367
236295	186238
227812	450801
210474	213847
497636	128289
12514	21347
475960	12932
348327	191960
202909	343123
72045	412172
166708	9818
186276	179811
51651	78562
464988	75890
435903	287679
384481	377305
432153	280680
126080	272592
337939	468594
492982	225989
22394	418951
116908	339789
358436	434407
445389	298640
496462	479567
64607	465892
18973	115720
146933	472848
438694	218022
384126	437242
275864	344094
230924	417022
196293	120836
46728	176760
